"term","estimate","std_error","mcmc_percent","z","p_value"
"edges",-6.16246316925512,0.206305628456498,0,-29.8705528073102,4.74899771637956e-196
"nodematch.gender",0.828305448141687,0.102867921787639,0,8.05212581091748,8.13682002659341e-16
"mutual",2.79107093906529,0.185697777986914,0,15.0301795170752,4.65741894688251e-51
"gwesp.OTP.fixed.0.2",1.71684068463753,0.0887642886188739,0,19.3415698064016,2.40055016508566e-83
"nodeofactor.gender.1",-0.0686960550617789,0.160685584140939,0,-0.427518469867992,0.669001735287423
"nodeifactor.gender.1",0.0297773126161761,0.14925684805732,0,0.199503828492617,0.84186864884621
"nodeocov.alcohol",-0.130460519476432,0.0620379176747751,0,-2.10291583544684,0.0354731273313546
"nodeicov.alcohol",0.152908861300379,0.0543131889573722,0,2.81531731492309,0.00487290931256253
"absdiff.alcohol",-0.124224169265228,0.0390847318220853,0,-3.17832983556595,0.00148126137704494
"absdiff.age",-0.172388379146699,0.148698735634975,0,-1.15931301238417,0.246328619603738
"edgecov.logdistance",-0.199640876554586,0.0552717969413723,0,-3.61198454912455,0.000303862674835798
"gwideg.fixed.0.6",1.15300784958402,0.316374292126575,0,3.64444228964951,0.000267972253961238
"gwodeg.fixed.0.6",2.52399693617667,0.435669462924063,0,5.79337582954857,6.89854941846976e-09
