"stat_type","bin","pobs","lower","upper","direction"
"odegree","0",0.0465116279069767,0,0.0350775193798449,"above"
"odegree","6",0.131782945736434,0.0232558139534884,0.116279069767442,"above"
"odegree","7",0,0.00775193798449612,0.0697674418604651,"below"
"distance","2",0.0470566860465116,0.0511097989341085,0.247883357558139,"below"
"distance","3",0.0703730620155039,0.0971505571705426,0.245282218992248,"below"
"distance","4",0.095687984496124,0.145807594476744,0.252567829457364,"below"
"distance","5",0.109132751937984,0.11140382751938,0.226444404069767,"below"
"distance","8",0.077156007751938,0.00294634205426357,0.0616733284883721,"above"
"distance","9",0.0528100775193798,0.000299781976744186,0.0309502180232558,"above"
"distance","10",0.0347020348837209,0,0.0166560683139535,"above"
"distance","11",0.0173812984496124,0,0.00777313468992247,"above"
"distance","12",0.00623788759689922,0,0.00321281492248062,"above"
"distance","Inf",0.25702519379845,0.0345173207364341,0.177181746608527,"above"
"triadcensus","111U",0.000532182750412012,0.000576316723127632,0.00161257095770005,"below"
"triadcensus","030T",7.1529939571507e-05,1.14447903314411e-05,6.02282091192089e-05,"above"
"triadcensus","201",0.000228895806628823,0.000256005653726424,0.00383657983885734,"below"
"triadcensus","120D",9.44195202343893e-05,3.28322422633217e-05,9.30604513825306e-05,"above"
"triadcensus","120U",9.1558322651529e-05,2.57507782457425e-05,6.86687419886468e-05,"above"
