"term","mean_centered","ts_se","z_mean0","p_mean0","ess","acf_lag1","geweke_z"
"edges",2.82657200811359,5.44786912051842,0.518839925406397,0.603872373457521,57.1183501750786,0.595406746203423,-0.35371322127909
"nodematch.gender",2.66353955375254,5.30144924906069,0.502417250193324,0.615374047311582,61.5639083879259,0.578401125796549,-0.129675517158423
"mutual",0.521805273833671,1.37819643634385,0.378614586479373,0.704974088780574,107.957434356604,0.431399931829386,-0.859955387869049
"gwesp.OTP.fixed.0.2",4.48320888349828,8.54931082875257,0.524394184899746,0.600004400271717,48.0394400159511,0.657565111225571,-0.894704259475856
"nodeofactor.gender.1",2.08899594320487,5.36697419818827,0.389231597929062,0.697104831054958,47.3082815092203,0.673434715920299,-0.476622703361345
"nodeifactor.gender.1",2.12778904665314,5.44165232557032,0.39101892575067,0.695783246625785,48.5703356401976,0.670711491622669,-0.536773292246894
"nodeocov.alcohol",5.9723630831643,10.5523483207697,0.565974786049204,0.571410920865066,81.25213931646,0.510160906442854,-0.20909892026124
"nodeicov.alcohol",6.26014198782961,10.9165970261235,0.573451779235693,0.566338839837028,83.3864777276182,0.511823617039532,-0.169997348358483
"absdiff.alcohol",2.22591277890467,3.56394659236467,0.62456401105264,0.532257246189189,150.551849231154,0.34803380091658,-0.908752539897289
"absdiff.age",0.589300202837122,1.3216822313569,0.445871321302489,0.655690199291664,113.072856007113,0.44404440732132,-0.352907495853371
"edgecov.logdistance",1.11603701855593,0.360010908412036,3.10000889550439,0.00193514830723154,2832.31159661624,0.127447133948567,0.724770958343778
"gwideg.fixed.0.6",0.124046843999902,0.315913697320729,0.392660543217803,0.694570216603865,275.89885706221,0.247179612622357,-0.418686507516176
"gwodeg.fixed.0.6",0.133542390623414,0.318351375644655,0.419481116904219,0.674864552239318,186.535143444729,0.278810050940311,-1.24694873825181
