"stat_type","bin","pobs","lower","upper","direction"
"odegree","0",0.0465116279069767,0.00368217054263566,0.0350775193798449,"above"
"odegree","1",0.0542635658914729,0.0771317829457364,0.135852713178295,"below"
"odegree","5",0.162790697674419,0.0498062015503876,0.139922480620155,"above"
"odegree","6",0.131782945736434,0.0191860465116279,0.0893410852713178,"above"
"odegree","7",0,0.00775193798449612,0.0624031007751938,"below"
"idegree","7",0.062015503875969,0.0191860465116279,0.0583333333333333,"above"
"idegree","9",0.0310077519379845,0,0.0232558139534884,"above"
"distance","2",0.0470566860465116,0.0510174418604651,0.0731028948643411,"below"
"distance","3",0.0703730620155039,0.0939559108527132,0.146614583333333,"below"
"distance","4",0.095687984496124,0.144858284883721,0.219921875,"below"
"distance","5",0.109132751937984,0.157167514534884,0.218653100775194,"below"
"distance","6",0.10531734496124,0.123707000968992,0.181904069767442,"below"
"distance","8",0.077156007751938,0.0198613129844961,0.0684638444767442,"above"
"distance","9",0.0528100775193798,0.0044921875,0.0391624273255814,"above"
"distance","10",0.0347020348837209,0.00078125,0.0249651768410853,"above"
"distance","11",0.0173812984496124,0,0.0149255087209302,"above"
"distance","Inf",0.25702519379845,0.0572856104651163,0.174087027616279,"above"
"triadcensus","021U",0.000537905145577733,0.000244775453213697,0.000472026071232375,"above"
"triadcensus","111U",0.000532182750412012,0.000590765770921077,0.00090227865775499,"below"
"triadcensus","030T",0.000071529939571507,0.00000994266160043948,0.000040199826039187,"above"
"triadcensus","201",0.000228895806628823,0.000240984366416407,0.000540265633583593,"below"
"triadcensus","120D",0.0000944195202343893,0.0000341913111151804,0.0000730320683025087,"above"
"triadcensus","120U",0.000091558322651529,0.0000286119758286028,0.0000658075444057865,"above"
"triadcensus","120C",0.0000429179637429042,0.00000844053286943783,0.0000388407571873283,"above"
"triadcensus","210",0.000183116645303058,0.0000727459485442227,0.000126035753524995,"above"
"triadcensus","300",0.0000743911371543673,0.0000856928676066654,0.000114590963193554,"below"
